time,VelocityError,PressureError
0.01,0.00031829095777629647,0.016284990489933957
0.02,0.000647631995366566,0.008668771177803307
0.03,0.0009531361687771907,0.009767988729677018
0.04,0.0012680704270936058,0.010885628811448455
0.05,0.0015823987287322528,0.01061731365797377
0.06,0.0018958900925188818,0.011093240914500166
0.07,0.0022094018186425363,0.01154654744485865
0.08,0.0025226729565545015,0.01196526742504313
0.09,0.0028357974090642024,0.012480355658858033
0.1,0.0031488503011149415,0.013026063470678573
0.11,0.0034619075742030304,0.013607397681038146
0.12,0.0037750495682153658,0.014226872695505297
0.13,0.004088384909569248,0.014881280756681534
0.14,0.004402012486283916,0.015566945275707463
0.15,0.004716056292869944,0.016286290932650736
0.16,0.0050306344476034786,0.017035556563933924
0.17,0.005345885520469768,0.017817436269777102
0.18,0.005661944075740387,0.018629117616202655
0.19,0.0059789612691710245,0.019473688589415505
